Chromophore,Solvent,lambda_abs,lambda_em,QY,log_eps,Lifetime (ns),Molecular weight (g mol-1),Reference,split,strict_core
CSC1=C2C=C(c3cc4n(c3)[B-](F)(F)[N+]3=CC=CC3=C4c3c(C)cc(C)cc3C)C(C)=[N+]2[B-](F)(F)n2c(C)ccc21,CC#N,592.0,740.0,0.01,5.027757,0.17,574.215691576,10.1021/acs.joc.8b01429,train,True
C#CCNC1=C2C=C(c3cc4n(c3)[B-](F)(F)[N+]3=CC=CC3=C4c3c(C)cc(C)cc3C)C(C)=[N+]2[B-](F)(F)n2c(C)ccc21,C1CCCCC1,568.0,633.0,0.42,4.634477,2.3,581.2545196080001,10.1021/acs.joc.8b01429,train,True
C#CCNC1=C2C=C(c3cc4n(c3)[B-](F)(F)[N+]3=CC=CC3=C4c3c(C)cc(C)cc3C)C(C)=[N+]2[B-](F)(F)n2c(C)ccc21,CCOC(C)=O,568.0,690.0,0.06,4.660865,0.58,581.2545196080001,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(Oc3ccccc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,582.0,630.0,0.89,4.783904,2.76,620.2541852600001,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(Oc3ccccc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,577.0,665.0,0.16,4.769377,0.92,620.2541852600001,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=Cc3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,592.5,636.0,0.98,4.79379,2.74,528.2279705120001,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=Cc3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,589.0,683.0,0.11,4.790988,0.58,528.2279705120001,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(c3ccc(C=O)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,604.5,657.0,0.92,4.894316,2.7,632.2541852600001,10.1021/acs.joc.8b01429,test,True
CC1=[N+]2C(=C(c3ccc(C=O)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,604.5,669.0,0.2,4.87564,0.9,632.2541852600001,10.1021/acs.joc.8b01429,test,True
CC1=[N+]2C(=C(c3ccc(Br)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,598.5,642.0,0.85,4.872739,3.01,682.1697827080001,10.1021/acs.joc.8b01429,test,True
CC1=[N+]2C(=C(c3ccc(Br)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,601.5,670.0,0.21,4.853698,0.9376,682.1697827080001,10.1021/acs.joc.8b01429,test,True
CC1=[N+]2C(=C(c3ccccc3C)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,595.0,640.0,0.84,4.797268,2.84,618.274920704,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(c3ccccc3C)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,599.0,679.0,0.16,4.751279,0.81,618.274920704,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(c3ccc(C(=O)c4ccccc4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,599.0,645.0,0.47,4.792392,2.9,708.2854853880001,10.1021/acs.joc.8b01429,val,True
CC1=[N+]2C(=C(c3ccc(C(=O)c4ccccc4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,601.5,664.0,0.13,4.763428,0.92,708.2854853880001,10.1021/acs.joc.8b01429,val,True
CC1=[N+]2C(=C(c3ccc4c(c3)Cc3ccccc3-4)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,597.5,645.0,0.65,4.986772,2.8,692.2905707680002,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(c3ccc4c(c3)Cc3ccccc3-4)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,598.5,675.0,0.11,4.963788,0.83,692.2905707680002,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,593.0,645.0,0.37,4.653213,2.6,771.332769928,10.1021/acs.joc.8b01429,val,True
CC1=[N+]2C(=C(c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,596.0,680.0,0.1,4.653213,0.72,771.332769928,10.1021/acs.joc.8b01429,val,True
CC1=[N+]2C(=C(c3cccs3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,608.5,650.0,0.62,4.892095,2.67,610.215691576,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(c3cccs3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,605.0,670.0,0.12,4.880814,0.92,610.215691576,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(C=Cc3ccc(C(F)(F)F)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,620.0,704.0,,4.697229,,698.2623053320001,10.1021/acs.joc.8b01429,val,True
CC1=[N+]2C(=C(C=Cc3ccc(C(F)(F)F)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,617.5,710.0,,4.693727,,698.2623053320001,10.1021/acs.joc.8b01429,val,True
CC1=[N+]2C(=C(NCc3ccccc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,568.0,636.0,0.32,4.482874,2.19,633.2858197360001,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(NCc3ccccc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,570.0,700.0,0.03,4.414973,0.54,633.2858197360001,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(NC(C)c3ccccc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,571.0,640.0,0.31,4.778151,2.07,647.3014698000001,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(NC(C)c3ccccc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,570.0,700.0,0.05,4.90309,0.52,647.3014698000001,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(Oc3ccc4c(c3)CCC3C4CCC4(C)C(=O)CCC34)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,579.5,630.0,0.52,4.510545,2.7,796.3743003920001,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(Oc3ccc4c(c3)CCC3C4CCC4(C)C(=O)CCC34)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,574.0,670.0,0.12,4.506505,0.911,796.3743003920001,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(Oc3cc(C)c4c(c3)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O4)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,570.5,632.0,0.45,4.553883,2.56,928.56210116,10.1021/acs.joc.8b01429,train,True
CC1=[N+]2C(=C(Oc3cc(C)c4c(c3)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O4)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,575.0,662.0,0.11,4.547775,0.9312,928.56210116,10.1021/acs.joc.8b01429,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCC(C)C,527.1,569.0,0.4,4.913814,4.19,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCCCCC,527.5,567.8,0.43,4.916454,4.35,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,C1CCCCC1,529.0,571.2,0.32,4.908485,3.91,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CC(C)CC(C)(C)C,527.5,569.0,0.4,4.905796,4.43,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCOCC,525.1,565.4,0.43,4.897627,4.27,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,C1COCCO1,525.1,565.4,0.4,4.89487,4.37,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,C1CCOC1,525.1,566.6,0.37,4.889302,4.15,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CN(C)C=O,524.0,565.4,0.35,4.770115,4.69,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CC(C)=O,522.5,563.6,0.44,4.871573,4.34,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCCC(C)=O,523.7,562.6,0.46,4.78746,4.54,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CNC=O,522.3,560.6,0.47,4.877947,4.45,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,COC(C)=O,522.5,561.8,0.48,4.89487,4.44,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCOC(C)=O,523.2,562.4,0.44,4.884795,4.31,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCCCOC(C)=O,524.3,564.6,0.43,4.89487,4.51,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CC#N,520.8,560.6,0.44,4.880814,4.27,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCCCCCCCO,527.3,565.0,0.41,4.886491,4.68,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCCCCCO,526.7,565.4,0.42,4.877947,4.59,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCCCO,526.1,566.6,0.39,4.886491,4.33,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCCO,525.3,564.6,0.39,4.889302,4.19,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCO,524.3,563.2,0.43,4.882525,4.09,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CO,522.9,561.2,0.48,4.879669,4.21,374.2704858960001,10.1021/jp0373898,train,True
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,OCC(F)(F)F,521.6,561.2,0.49,4.845718,4.64,374.2704858960001,10.1021/jp0373898,train,True
F[B-]1(F)n2cccc2C(c2ccccc2)=C2C=CC=[N+]21,ClCCl,500.0,522.0,0.74,4.7,,268.09833519200004,10.1021/acs.joc.9b00020,train,True
CC(C)(C)OC(=O)C=CC1=CC2=C(c3ccccc3)c3cccn3[B-](F)(F)[N+]2=C1,ClCCl,538.0,575.0,0.1,4.54,,394.1664147520001,10.1021/acs.joc.9b00020,train,True
COc1ccc(C2=C3C=C(C=CC(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3cccc32)cc1,ClCCl,536.0,572.0,0.13,4.48,,424.17697943600007,10.1021/acs.joc.9b00020,train,True
COc1cccc(C2=C3C=C(C=CC(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3cccc32)c1,ClCCl,539.0,581.0,0.09,4.62,,424.17697943600007,10.1021/acs.joc.9b00020,train,True
Cc1cc(C)c(C2=C3C=C(C=CC(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3cccc32)c(C)c1,ClCCl,538.0,569.0,0.3,4.56,,436.2133649440001,10.1021/acs.joc.9b00020,val,True
COC(=O)C=CC1=CC2=C(c3c(C)cc(C)cc3C)c3cccn3[B-](F)(F)[N+]2=C1,ClCCl,537.0,570.0,0.34,4.6,,394.1664147520001,10.1021/acs.joc.9b00020,train,True
Cc1cc(C)c(C2=C3C=C(C=CC(=O)OCc4ccccc4)C=[N+]3[B-](F)(F)n3cccc32)c(C)c1,ClCCl,537.0,568.0,0.36,4.62,,470.1977148800001,10.1021/acs.joc.9b00020,test,True
CCCCCCCCCCCCCCCCCCOC(=O)C=CC1=CC2=C(c3c(C)cc(C)cc3C)c3cccn3[B-](F)(F)[N+]2=C1,ClCCl,538.0,569.0,0.34,4.59,,632.43246584,10.1021/acs.joc.9b00020,test,True
CCOCCOCCOC(=O)C=CC1=CC2=C(c3c(C)cc(C)cc3C)c3cccn3[B-](F)(F)[N+]2=C1,ClCCl,536.0,567.0,0.35,4.65,,496.2344943120001,10.1021/acs.joc.9b00020,train,True
Cc1cc(C)c(C2=C3C=C(C=CC(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3cc(C=CC(=O)OC(C)(C)C)cc32)c(C)c1,ClCCl,580.0,610.0,0.4,4.62,,562.281444504,10.1021/acs.joc.9b00020,train,True
COC(=O)C=CC1=CC2=C(c3c(C)cc(C)cc3C)c3cc(C=CC(=O)OC)cn3[B-](F)(F)[N+]2=C1,ClCCl,577.0,604.0,0.36,4.6,,478.18754412,10.1021/acs.joc.9b00020,test,True
Cc1cc(C)c(C2=C3C=C(C=CC(=O)OCc4ccccc4)C=[N+]3[B-](F)(F)n3cc(C=CC(=O)OCc4ccccc4)cc32)c(C)c1,ClCCl,576.0,604.0,0.35,4.73,,630.250144376,10.1021/acs.joc.9b00020,train,True
CCCCCCCCCCCCCCCCCCOC(=O)C=CC1=CC2=C(c3c(C)cc(C)cc3C)c3cc(C=CC(=O)OCCCCCCCCCCCCCCCCCC)cn3[B-](F)(F)[N+]2=C1,ClCCl,578.0,606.0,0.34,4.66,,954.719646296,10.1021/acs.joc.9b00020,train,True
CCOCCOCCOC(=O)C=CC1=CC2=C(c3c(C)cc(C)cc3C)c3cc(C=CC(=O)OCCOCCOCC)cn3[B-](F)(F)[N+]2=C1,ClCCl,577.0,606.0,0.34,4.7,,682.3237032399999,10.1021/acs.joc.9b00020,test,True
CCCCNc1ccc2n1[B-](F)(F)[N+]1=CC(C=CC(=O)OC(C)(C)C)=CC1=C2c1c(C)cc(C)cc1C,ClCCl,499.0,546.0,0.59,4.35,,507.2868642319999,10.1021/acs.joc.9b00020,train,True
CCN(CC)c1ccc2n1[B-](F)(F)[N+]1=CC(C=CC(=O)OC(C)(C)C)=CC1=C2c1c(C)cc(C)cc1C,ClCCl,478.0,571.0,0.26,4.46,,507.2868642319999,10.1021/acs.joc.9b00020,train,True
Cc1cc(C)c(C2=C3C=C(C=CC(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3c2ccc3N2CCCC2)c(C)c1,ClCCl,479.0,551.0,0.57,4.5,,505.2712141680001,10.1021/acs.joc.9b00020,train,True
Cc1cc(C)c(C2=C3C=C(C=CC(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3c2ccc3N2CCOCC2)c(C)c1,ClCCl,497.0,581.0,0.49,4.51,,521.2661287880001,10.1021/acs.joc.9b00020,train,True
Cc1cc(C)c(C2=C3C=C(C=CC(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3c2ccc3N2CCOCC2)c(C)c1,CC#N,480.0,579.0,0.13,4.64,,521.2661287880001,10.1021/acs.joc.9b00020,train,True
Cc1cc(C)c(C2=C3C=C(C=CC(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3c2ccc3N2CCOCC2)c(C)c1,CO,483.0,577.0,0.21,4.63,,521.2661287880001,10.1021/acs.joc.9b00020,train,True
Cc1cc(C)c(C2=C3C=C(C=CC(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3c2ccc3N2CCOCC2)c(C)c1,CN(C)C=O,485.0,577.0,0.15,4.62,,521.2661287880001,10.1021/acs.joc.9b00020,train,True
Cc1cc(C)c(C2=C3C=C(C=CC(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3c2ccc3N2CCOCC2)c(C)c1,Cc1ccccc1,525.0,585.0,0.64,4.68,,521.2661287880001,10.1021/acs.joc.9b00020,train,True
Cc1cc(C)c(C2=C3C=C(C=CC(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3c2ccc3N2CCOCC2)c(C)c1,CCCCCC,532.0,583.0,0.88,4.66,,521.2661287880001,10.1021/acs.joc.9b00020,train,True
Cc1cc(C)c(C2=C3C=C(c4ccccc4)C(c4ccccc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccccc2)c3-c2ccccc2)c(C)c1,C1CCCCC1,590.0,624.0,0.94,4.94,,614.2704858960001,10.1021/acs.joc.9b01425,train,True
Cc1cc(C)c(C2=C3C=C(c4ccccc4)C(c4ccccc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccccc2)c3-c2ccccc2)c(C)c1,Cc1ccccc1,592.0,629.0,0.75,4.81,,614.2704858960001,10.1021/acs.joc.9b01425,train,True
Cc1cc(C)c(C2=C3C=C(c4ccccc4)C(c4ccccc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccccc2)c3-c2ccccc2)c(C)c1,ClCCl,585.0,626.0,0.74,4.8,,614.2704858960001,10.1021/acs.joc.9b01425,train,True
Cc1cc(C)c(C2=C3C=C(c4ccccc4)C(c4ccccc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccccc2)c3-c2ccccc2)c(C)c1,C1CCOC1,587.0,627.0,0.9,4.8,,614.2704858960001,10.1021/acs.joc.9b01425,train,True
Cc1cc(C)c(C2=C3C=C(c4ccccc4)C(c4ccccc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccccc2)c3-c2ccccc2)c(C)c1,CC#N,578.0,623.0,0.87,4.74,,614.2704858960001,10.1021/acs.joc.9b01425,train,True
Cc1cc(C)c(C2=C3C=C(c4ccc(C(C)(C)C)cc4)C(c4ccc(C(C)(C)C)cc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccc(C(C)(C)C)cc2)c3-c2ccc(C(C)(C)C)cc2)c(C)c1,C1CCCCC1,602.0,639.0,0.77,4.7,,838.5208869200001,10.1021/acs.joc.9b01425,val,True
Cc1cc(C)c(C2=C3C=C(c4ccc(C(C)(C)C)cc4)C(c4ccc(C(C)(C)C)cc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccc(C(C)(C)C)cc2)c3-c2ccc(C(C)(C)C)cc2)c(C)c1,Cc1ccccc1,606.0,645.0,0.78,4.7,,838.5208869200001,10.1021/acs.joc.9b01425,val,True
Cc1cc(C)c(C2=C3C=C(c4ccc(C(C)(C)C)cc4)C(c4ccc(C(C)(C)C)cc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccc(C(C)(C)C)cc2)c3-c2ccc(C(C)(C)C)cc2)c(C)c1,ClCCl,599.0,644.0,0.74,4.65,,838.5208869200001,10.1021/acs.joc.9b01425,val,True
Cc1cc(C)c(C2=C3C=C(c4ccc(C(C)(C)C)cc4)C(c4ccc(C(C)(C)C)cc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccc(C(C)(C)C)cc2)c3-c2ccc(C(C)(C)C)cc2)c(C)c1,C1CCOC1,602.0,628.0,0.96,4.67,,838.5208869200001,10.1021/acs.joc.9b01425,val,True
Cc1cc(C)c(C2=C3C=C(c4ccc(C(C)(C)C)cc4)C(c4ccc(C(C)(C)C)cc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccc(C(C)(C)C)cc2)c3-c2ccc(C(C)(C)C)cc2)c(C)c1,CC#N,592.0,643.0,0.62,4.59,,838.5208869200001,10.1021/acs.joc.9b01425,val,True
COc1cccc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cccc(OC)c5)c(-c5cccc(OC)c5)n4[B-](F)(F)[N+]3=C2c2cccc(OC)c2)c1,C1CCCCC1,596.0,633.0,0.86,4.94,,734.312744632,10.1021/acs.joc.9b01425,val,True
COc1cccc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cccc(OC)c5)c(-c5cccc(OC)c5)n4[B-](F)(F)[N+]3=C2c2cccc(OC)c2)c1,Cc1ccccc1,596.0,636.0,0.78,4.9,,734.312744632,10.1021/acs.joc.9b01425,val,True
COc1cccc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cccc(OC)c5)c(-c5cccc(OC)c5)n4[B-](F)(F)[N+]3=C2c2cccc(OC)c2)c1,ClCCl,588.0,632.0,0.83,4.87,,734.312744632,10.1021/acs.joc.9b01425,val,True
COc1cccc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cccc(OC)c5)c(-c5cccc(OC)c5)n4[B-](F)(F)[N+]3=C2c2cccc(OC)c2)c1,C1CCOC1,592.0,634.0,0.76,4.88,,734.312744632,10.1021/acs.joc.9b01425,val,True
COc1cccc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cccc(OC)c5)c(-c5cccc(OC)c5)n4[B-](F)(F)[N+]3=C2c2cccc(OC)c2)c1,CC#N,581.0,629.0,0.65,4.85,,734.312744632,10.1021/acs.joc.9b01425,val,True
COc1cc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cc(OC)c(OC)c(OC)c5)c(-c5cc(OC)c(OC)c(OC)c5)n4[B-](F)(F)[N+]3=C2c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,C1CCCCC1,626.0,670.0,0.33,4.93,,974.397262104,10.1021/acs.joc.9b01425,train,True
COc1cc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cc(OC)c(OC)c(OC)c5)c(-c5cc(OC)c(OC)c(OC)c5)n4[B-](F)(F)[N+]3=C2c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,Cc1ccccc1,629.0,677.0,0.16,4.88,,974.397262104,10.1021/acs.joc.9b01425,train,True
COc1cc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cc(OC)c(OC)c(OC)c5)c(-c5cc(OC)c(OC)c(OC)c5)n4[B-](F)(F)[N+]3=C2c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,ClCCl,617.0,651.0,0.05,4.87,,974.397262104,10.1021/acs.joc.9b01425,train,True
COc1cc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cc(OC)c(OC)c(OC)c5)c(-c5cc(OC)c(OC)c(OC)c5)n4[B-](F)(F)[N+]3=C2c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,C1CCOC1,621.0,662.0,0.08,4.87,,974.397262104,10.1021/acs.joc.9b01425,train,True
COc1cc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cc(OC)c(OC)c(OC)c5)c(-c5cc(OC)c(OC)c(OC)c5)n4[B-](F)(F)[N+]3=C2c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,CC#N,608.0,628.0,0.02,4.82,,974.397262104,10.1021/acs.joc.9b01425,train,True
COc1ccc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5ccc(OC)cc5)c(-c5ccc(OC)cc5)n4[B-](F)(F)[N+]3=C2c2ccc(OC)cc2)cc1,C1CCCCC1,615.0,665.0,0.41,4.99,,734.3127446320001,10.1021/acs.joc.9b01425,val,True
